uniprotID_S288c	GeneName_S288C	Standard _A	Standard _B	Standard _C	High_temperature_A	High_temperature_B	High_temperature_C	Low_pH_A	Low_pH_B	Low_pH_C	Osmotic_stress _A	Osmotic_stress _B	Osmotic_stress _C
P09440	YBR084W	5.45412E-07	7.35672E-07	5.45412E-07	6.60756E-07	3.54149E-07	2.88476E-07	6.7716E-07	6.6825E-07	5.12325E-07	9.22925E-07	7.70084E-07	8.17112E-07
P17255	YDL185W	4.05888E-06	4.05465E-06	4.21532E-06	3.63819E-06	4.02497E-06	5.07654E-06	3.78675E-06	3.92486E-06	4.8114E-06	6.23121E-06	5.34356E-06	6.40757E-06
P38720	YHR183W	1.0274E-05	8.8788E-06	1.00626E-05	7.33278E-06	8.98467E-06	6.8493E-06	9.8901E-06	8.77635E-06	9.9792E-06	1.81058E-05	1.73416E-05	1.6401E-05
P53319	YGR256W	4.60852E-06	4.04197E-06	4.56624E-06	4.67364E-06	5.39886E-06	4.47219E-06	4.5441E-06	5.56875E-06	5.47965E-06	5.79032E-06	5.69627E-06	6.40757E-06
P11154	YGL062W	2.7482E-06	2.28312E-06	2.53257E-06	2.76792E-06	2.40531E-06	2.53424E-06	2.21414E-06	2.25423E-06	2.46807E-06	3.61528E-06	5.22599E-06	4.39124E-06
0	0	1.53899E-06	1.44175E-06	3.61494E-06	1.80499E-06	1.34569E-06	2.93311E-06	1.66617E-06	1.30977E-06	3.32343E-06	2.52776E-06	3.48595E-06	2.22795E-06
P17709	YCL040W	0.000007399	8.2446E-06	6.63796E-06	7.09104E-06	7.09104E-06	8.01771E-06	4.94505E-06	9.13275E-06	8.24175E-06	1.16982E-05	1.18158E-05	1.23449E-05
Q04409	YDR516C	2.6129E-06	2.00407E-06	1.65315E-06	2.40531E-06	2.95729E-06	3.50926E-06	1.31423E-06	1.44788E-06	1.02911E-06	3.66818E-06	4.17374E-06	2.70999E-06
P05030	YGL008C	4.14767E-06	3.4585E-06	4.16035E-06	4.31103E-06	4.35132E-06	4.31103E-06	3.34125E-06	3.27888E-06	4.94505E-06	8.28869E-06	1.03462E-05	6.76028E-06
P19657	YPL036W	2.44378E-06	2.05904E-06	2.55371E-06	3.32795E-06	2.95729E-06	2.9452E-06	2.09385E-06	2.19632E-06	3.02495E-06	5.02024E-06	5.07315E-06	3.80339E-06
P06106	YLR303W	1.56859E-05	1.71234E-05	1.34873E-05	1.15632E-05	1.16035E-05	1.00322E-05	1.45679E-05	1.34096E-05	1.60826E-05	1.85173E-05	2.19268E-05	1.83997E-05
P37291	YLR058C	7.01848E-06	7.6104E-06	8.49828E-06	5.27799E-06	5.51973E-06	7.29249E-06	8.8209E-06	1.00683E-05	8.33085E-06	9.11168E-06	9.11168E-06	9.64074E-06
P37292	YBR263W	2.94692E-06	3.26402E-06	3.02302E-06	2.2643E-06	1.53102E-06	2.28847E-06	2.49035E-06	2.97149E-06	2.75319E-06	3.16851E-06	2.72175E-06	3.05682E-06
P23254	YPR074C	3.61071E-06	4.16035E-06	3.55575E-06	2.5423E-06	2.98549E-06	2.5705E-06	3.7823E-06	3.07841E-06	3.75111E-06	5.74329E-06	5.99607E-06	4.16786E-06
P33315	YBR117C	2.29158E-06	1.68274E-06	1.25149E-06	1.64383E-06	1.43432E-06	1.70427E-06	2.19186E-06	2.73092E-06	2.81111E-06	5.20835E-06	7.11299E-06	4.36773E-06
P19882	YLR259C	7.48356E-06	8.79424E-06	9.7244E-06	1.14424E-05	1.06366E-05	1.29734E-05	7.0389E-06	9.4446E-06	8.77635E-06	1.34618E-05	1.28739E-05	1.22273E-05
P60010	YFL039C	2.02098E-05	1.83495E-05	2.03367E-05	2.09508E-05	2.24012E-05	1.65189E-05	1.71963E-05	1.56371E-05	1.95129E-05	2.77465E-05	1.96342E-05	2.51012E-05
P20967	YIL125W	3.44159E-06	3.73332E-06	3.47964E-06	4.59306E-06	4.75422E-06	3.99677E-06	3.76002E-06	3.88476E-06	4.25007E-06	7.52448E-06	6.52514E-06	6.46635E-06
P32191	YIL155C	8.62512E-06	7.01848E-06	6.38428E-06	8.70264E-06	1.03948E-05	1.10395E-05	0.000006237	6.63795E-06	7.26165E-06	1.11692E-05	1.02874E-05	1.19921E-05
P22137	YGL206C	1.71657E-06	1.98293E-06	1.8265E-06	1.66398E-06	2.09911E-06	1.71635E-06	1.28304E-06	1.75082E-06	2.4458E-06	2.09862E-06	3.32723E-06	2.2691E-06
P18239	YBL030C	2.10977E-05	1.62778E-05	2.22393E-05	1.7083E-05	1.98227E-05	2.1112E-05	1.63499E-05	1.67063E-05	1.89783E-05	3.24493E-05	3.83278E-05	2.68647E-05
P25694	YDL126C	3.91513E-06	4.6508E-06	3.58534E-06	3.15068E-06	4.35132E-06	4.59306E-06	5.03415E-06	5.5242E-06	0.000005346	7.17177E-06	6.34878E-06	7.17177E-06
Q12680	YDL171C	9.513E-07	8.54056E-07	1.1331E-06	7.33278E-07	5.31828E-07	7.45365E-07	1.45233E-06	1.51025E-06	1.94238E-06	1.79882E-06	1.76943E-06	1.63422E-06
P08566	YDR127W	1.6912E-06	1.83918E-06	1.56859E-06	1.25705E-06	1.47864E-06	1.23287E-06	1.30977E-06	1.38551E-06	1.76864E-06	1.3932E-06	2.00457E-06	2.25734E-06
P00942	YDR050C	2.21124E-05	2.66364E-05	2.37191E-05	2.48186E-05	2.29653E-05	2.61885E-05	2.12058E-05	3.10514E-05	2.86011E-05	4.56759E-05	4.49705E-05	4.5382E-05
