genes	REF	EtOG_20	EtOH_40	EtOH_60	Osm_02	Osm_04	Osm_06	HiT_33	HiT_36	HiT_38
YER031C	5.23921E-05	4.95351E-05	6.13307E-05	6.50491E-05	4.75385E-05	4.58613E-05	4.48879E-05	5.01441E-05	5.53127E-05	6.57741E-05
YER036C	0.000161427	0.000135879	8.72429E-05	8.95718E-05	0.00018211	0.000181242	0.000216779	0.000196203	0.000203239	0.000183637
YER042W	5.74743E-06	5.49236E-06	3.8299E-06	3.08058E-06	5.22564E-06	5.10248E-06	4.56981E-06	5.97055E-06	6.64987E-06	4.37007E-06
YER043C	0.002784723	0.003084723	0.002743372	0.002088431	0.003309687	0.003103049	0.00337555	0.00230566	0.002478002	0.002794581
YER044C	1.73986E-05	3.40588E-05	9.24703E-06	1.16218E-05	3.07695E-05	6.83362E-05	0	0	1.95142E-05	6.45911E-05
YER048C	6.43948E-05	6.43381E-05	4.63055E-05	3.81986E-05	6.49121E-05	6.03985E-05	5.5129E-05	6.91122E-05	8.1602E-05	6.13447E-05
YER048W-A	6.58054E-06	7.89148E-06	8.48449E-06	8.35146E-06	7.36756E-06	6.91173E-06	7.48335E-06	7.25829E-06	8.49779E-06	9.28697E-06
YER049W	7.29885E-05	6.69672E-05	6.21304E-05	6.79592E-05	8.3711E-05	8.73383E-05	0.000100327	7.97883E-05	7.32133E-05	8.57083E-05
YER052C	0.000282509	0.000219615	0.000321073	0.000316437	0.000291075	0.000290662	0.000303568	0.000289273	0.000247008	0.000234438
YER055C	0.000488475	0.000340066	0.000380967	0.000350351	0.000451735	0.000442617	0.000370617	0.000439067	0.000333593	0.000351471
YER056C-A	0.000630585	0.000634286	0.000635164	0.000588893	0.000716166	0.000695875	0.00070991	0.000701511	0.000689482	0.000606938
YER057C	0.000480251	0.000567674	0.000437648	0.000290269	0.000486017	0.000512365	0.000463306	0.000480315	0.000452712	0.000254738
YER061C	2.03657E-05	2.99839E-05	3.0284E-05	2.45507E-05	1.9449E-05	1.8E-05	1.54563E-05	2.24282E-05	2.71568E-05	2.6935E-05
YER062C	2.34281E-05	2.73999E-05	1.15387E-05	3.3673E-05	5.88709E-05	7.84448E-05	0.000141939	3.33102E-05	2.34519E-05	5.42376E-05
YER063W	3.42539E-05	4.18325E-05	4.38845E-05	4.07525E-05	3.08249E-05	3.27826E-05	2.54404E-05	3.12119E-05	3.80779E-05	2.15608E-05
YER065C	0.00015766	0.000842931	0.000735761	3.4014E-05	0.000186073	0.000151645	0.000140206	0.000139209	0.000158982	8.57739E-06
YER069W	0.000470895	0.000550792	0.000376988	0.000158931	0.000366337	0.00033499	0.000216968	0.000379884	0.00033779	0.00017524
YER071C	2.05013E-05	2.16587E-05	2.10542E-05	1.55661E-05	2.3429E-05	2.02918E-05	2.13137E-05	2.08882E-05	2.50345E-05	1.73165E-05
YER073W	0.000182589	8.75097E-05	0.000128302	9.90404E-05	0.000161522	0.000152567	0.000130937	0.000166035	0.000139621	0.000139485
YER080W	2.42667E-06	2.52725E-06	2.18431E-06	2.13717E-06	2.4236E-06	2.33233E-06	2.30877E-06	2.07652E-06	2.28563E-06	1.75178E-06
YER081W	0.00014366	0.000105871	6.8863E-05	4.71042E-05	0.000187215	0.000193649	0.00026397	0.000144389	0.000110682	0.000153087
YER083C	5.7669E-05	5.39274E-05	4.99485E-05	6.621E-05	5.26055E-05	5.47002E-05	6.25617E-05	5.44726E-05	6.1368E-05	6.42303E-05
YER086W	0.000321107	0.000301856	0.000300751	0.000250579	0.000311661	0.0003059	0.000282871	0.000330753	0.00028284	0.000270462
YER089C	7.72805E-05	8.00378E-05	7.58906E-05	7.80952E-05	7.3404E-05	7.12522E-05	6.59708E-05	6.49658E-05	5.8274E-05	5.17418E-05
YER090W	7.28028E-05	4.82069E-05	6.32637E-05	4.90101E-05	7.75078E-05	7.61865E-05	8.04048E-05	6.799E-05	6.2323E-05	5.33446E-05
YER091C	0.003193334	0.002896971	0.004560175	0.004423509	0.003376607	0.00335601	0.003025067	0.002664108	0.002330956	0.002502449
YER095W	0	0	0	0	0	0	0	0	0	0
YER099C	3.98845E-06	4.02764E-06	4.01453E-06	4.45327E-06	3.82562E-06	3.43922E-06	3.0252E-06	4.75655E-06	6.02016E-06	5.53826E-06
YER101C	9.98367E-06	7.47772E-06	8.43402E-06	8.58518E-06	0	0	0	8.37224E-06	1.24342E-05	8.56694E-06
YER105C	0	0	0	0	0	0	0	0	0	0
YER110C	0.000266852	0.000217691	0.000230838	0.000246735	0.000304167	0.000307844	0.000325296	0.000279033	0.00027408	0.000282153
YER112W	5.51025E-05	6.21712E-05	5.42947E-05	5.27244E-05	5.39752E-05	5.30904E-05	5.83951E-05	6.49878E-05	6.87133E-05	5.00462E-05
YER114C	1.24598E-05	1.73924E-05	1.51926E-05	1.46306E-05	1.45802E-05	1.02726E-05	0	0	1.25289E-05	1.05998E-05
YER120W	0.000170707	0.000167503	0.000167299	0.000176504	0.000178017	0.000162525	0.000169727	0.000179125	0.000209091	0.000180742
YER123W	4.57916E-06	5.64183E-06	2.02215E-06	3.70487E-06	4.14699E-06	4.06835E-06	5.12314E-06	2.48309E-06	3.30382E-06	4.43364E-06
YER125W	2.69739E-05	3.22509E-05	2.7112E-05	2.75276E-05	2.58529E-05	2.73793E-05	2.49563E-05	2.63828E-05	2.7753E-05	2.53899E-05
YER126C	2.15317E-05	1.83331E-05	1.83882E-05	1.50269E-05	2.15801E-05	2.66714E-05	2.58307E-05	2.32406E-05	2.36571E-05	2.303E-05
YER127W	2.97377E-06	9.73583E-07	2.39239E-06	2.74874E-06	1.74942E-06	1.70021E-06	1.70143E-06	1.87707E-06	2.18748E-06	2.45068E-06
YER133W	0.000194388	0.000177509	0.000184085	0.000206693	0.000206733	0.000186704	0.000187131	0.000192854	0.000199667	0.000164549
YER134C	3.94715E-05	4.59667E-05	4.20685E-05	4.5236E-05	3.79505E-05	3.79172E-05	3.41446E-05	4.25653E-05	4.92792E-05	4.50895E-05
YER136W	0.00022539	0.000200932	0.000175799	0.000178931	0.000241334	0.000245716	0.000236367	0.00024593	0.00026102	0.00020562
YER139C	0	0	0	0	0	0	0	0	0	0
YER142C	0	0	0	0	0	0	0	0	0	0
YER143W	7.26238E-05	8.67707E-05	6.86845E-05	6.66985E-05	7.20607E-05	6.90308E-05	6.46337E-05	8.03978E-05	9.02938E-05	5.5432E-05
YER146W	0	0	0	0	0	0	0	0	0	0
YER149C	5.64187E-07	0	0	8.21806E-07	0	1.40774E-06	0	0	7.94442E-07	9.1159E-07
YER151C	4.16431E-06	4.33125E-06	4.18028E-06	5.68367E-06	4.95606E-06	4.16089E-06	5.61154E-06	3.70441E-06	3.76952E-06	6.76285E-06
YER156C	1.69459E-05	1.59778E-05	1.55822E-05	1.47346E-05	1.96513E-05	1.69473E-05	1.87087E-05	1.58181E-05	1.59805E-05	1.28789E-05
YER157W	8.72825E-07	2.65619E-07	1.70089E-06	1.98361E-06	0	0	0	1.14078E-06	0	1.50579E-06
YER164W	5.10704E-06	7.45407E-06	4.42092E-06	5.96043E-06	5.82484E-06	6.06423E-06	5.75109E-06	0	4.38332E-06	8.76007E-06
YER165W	0.000487258	0.000484107	0.000441091	0.00044799	0.000532691	0.000522256	0.000530901	0.000484205	0.000485906	0.000407507
YER166W	1.18958E-06	1.52378E-06	1.12434E-06	2.41298E-06	1.10994E-06	0	3.30485E-07	1.10329E-06	0	9.08737E-07
YER171W	2.97399E-07	0	5.0327E-07	5.84239E-07	0	0	2.29211E-07	3.72035E-07	4.48753E-07	4.22345E-07
YER172C	0	0	0	0	0	0	0	0	0	0
YER174C	2.3941E-05	1.12851E-05	2.09008E-05	1.39633E-05	1.94226E-05	2.4008E-05	2.76033E-05	2.48311E-05	2.71284E-05	6.76265E-06
YER175C	4.06869E-05	4.56419E-05	3.095E-05	1.03712E-05	3.48156E-05	2.71248E-05	1.75007E-05	3.26988E-05	3.06679E-05	1.69544E-05
YER177W	0.000856207	0.000915039	0.000692947	0.000694058	0.000786032	0.000776393	0.000604341	0.000880084	0.000947803	0.000775166
YER178W	0.000344258	0.000430292	0.000438887	0.000358954	0.000339406	0.000343487	0.000319299	0.000336792	0.000365985	0.000296657
YFL002C	0	0	1.43443E-06	1.37478E-06	0	0	0	0	0	2.04005E-06
YFL004W	8.27661E-06	1.56312E-05	1.13735E-05	1.26879E-05	9.38317E-06	8.83863E-06	1.01689E-05	8.05139E-06	6.91689E-06	9.32369E-06
YFL005W	0.000299585	0.000352746	0.000335165	0.000339861	0.000321229	0.000331492	0.000330671	0.000341417	0.000373791	0.000408215
YFL007W	0	0	0	0	0	0	0	0	0	0
YFL014W	0.000935897	0.000248635	0.000170558	0.000361535	0.000875021	0.000791798	0.000375214	0.001075233	0.001197939	0.000360644
YFL016C	2.77313E-05	3.17562E-05	5.39331E-05	6.63409E-05	2.9228E-05	2.78895E-05	3.39686E-05	3.27612E-05	4.22797E-05	8.92837E-05
YFL017C	7.94601E-06	9.72736E-06	1.23851E-05	8.62082E-06	6.89895E-06	6.60267E-06	5.62651E-06	7.74382E-06	8.05644E-06	7.73348E-06
YFL018C	0.000402053	0.000468884	0.000542311	0.000413925	0.000427951	0.000437928	0.000456972	0.000433137	0.000493746	0.000319755
YFL022C	0.000112121	0.000106793	0.000124903	0.000161238	0.000125245	0.000129875	0.000139213	0.0001259	0.000132727	0.000153076
YFL028C	4.70592E-05	4.25062E-05	5.44622E-05	5.78137E-05	4.52565E-05	4.72363E-05	3.79044E-05	4.80476E-05	5.33247E-05	4.74627E-05
YFL030W	0.000232135	0.0004234	0.000555584	0.000340318	0.000302992	0.000276028	0.000344582	0.000204053	0.000185074	3.53086E-05
YFL033C	0	0	0	0	0	0	0	0	0	0
YFL034C-A	0.000242328	0.000153925	0.000146639	0.000120725	0.000240226	0.000254854	0.000290593	0.000219406	0.000208316	0.000136657
YFL037W	0.000235903	0.000251237	0.000203428	0.00020246	0.000236143	0.000229319	0.00022739	0.000220181	0.000246624	0.000193325
YFL038C	0.00027305	0.000316868	0.000335511	0.000390547	0.000306417	0.00028028	0.000280976	0.000304575	0.000336228	0.000400033
YFL039C	0.002266882	0.002137721	0.001958996	0.002033648	0.002136164	0.002133454	0.002068343	0.002059801	0.002212826	0.002245267
YFL041W	2.19227E-05	4.10592E-05	2.93934E-05	1.43879E-05	2.71742E-05	2.54894E-05	2.49723E-05	2.98608E-05	2.269E-05	2.36806E-05
YFL044C	3.65594E-05	3.92027E-05	3.66382E-05	3.0837E-05	3.82147E-05	3.65703E-05	4.03557E-05	3.47328E-05	3.69675E-05	2.12887E-05
YFL045C	0.000285703	0.000261479	0.000176439	0.000232931	0.00030599	0.000305351	0.000260968	0.000241388	0.000236317	0.000185528
YFL047W	2.15745E-06	2.00505E-06	1.9539E-06	2.37186E-06	2.12975E-06	1.96494E-06	1.95088E-06	1.48842E-06	1.68832E-06	1.58944E-06
YFL048C	1.76868E-05	1.65414E-05	1.8765E-05	2.13166E-05	1.6677E-05	1.80395E-05	1.57276E-05	1.66748E-05	1.90108E-05	1.64838E-05
YFL053W	1.14177E-06	4.51185E-06	5.2708E-06	1.58205E-06	1.74193E-06	1.19281E-06	2.65492E-06	4.77769E-06	7.20562E-06	3.32364E-06
YFR001W	7.12567E-05	6.90402E-05	6.36038E-05	5.80483E-05	7.55795E-05	7.52063E-05	7.24472E-05	8.13068E-05	7.97637E-05	4.8587E-05
YFR002W	1.24404E-05	1.23397E-05	1.33191E-05	1.81363E-05	1.36249E-05	1.30513E-05	1.37167E-05	1.16446E-05	1.63637E-05	1.56563E-05
YFR004W	0.000184993	0.000184585	0.00017372	0.00019052	0.000184678	0.000181198	0.000191157	0.000198454	0.000200307	0.000160121
YFR006W	6.02586E-06	4.37217E-06	5.39457E-06	5.52823E-06	6.35645E-06	5.89983E-06	6.98271E-06	4.83222E-06	4.76147E-06	3.13187E-06
YFR007W	2.57507E-07	1.99462E-07	2.22317E-07	2.20309E-07	2.63771E-07	2.4342E-07	2.51365E-07	2.54262E-07	2.73086E-07	2.61129E-07
YFR009W	3.19596E-05	2.81608E-05	3.51107E-05	5.1852E-05	3.38424E-05	3.32547E-05	4.10585E-05	3.23057E-05	3.39963E-05	4.41152E-05
YFR010W	9.63553E-05	9.17485E-05	8.19649E-05	8.8137E-05	0.000101035	9.46991E-05	0.00010656	8.84514E-05	9.45263E-05	7.19929E-05
YFR011C	9.82682E-05	0.000110597	0.000145888	0.000113428	0.000115031	0.000102479	0.000103133	9.18909E-05	9.64741E-05	5.02607E-05
YFR013W	0	0	0	0	0	0	0	0	0	0
YFR014C	1.40072E-05	1.46284E-05	1.99206E-05	2.37016E-05	1.39837E-05	1.23892E-05	1.25301E-05	1.14082E-05	1.32531E-05	1.5928E-05
YFR016C	5.21822E-06	0	5.01724E-06	4.41732E-06	4.54962E-06	4.21688E-06	3.98797E-06	4.00748E-06	4.70099E-06	4.32187E-06
YFR024C-A	9.94445E-05	0.000122378	0.000121721	0.000124422	0.000112374	0.000106777	0.000122829	0.000112914	0.000118126	0.000128552
YFR025C	0	0	0	0	0	0	0	0	0	0
YFR028C	1.0883E-05	1.40976E-05	1.74641E-05	2.71112E-05	1.86727E-05	1.17254E-05	2.54281E-05	0	0	1.81372E-05
YFR029W	0	0	0	0	0	0	0	0	0	0
YFR030W	0.000383701	0.00041676	0.000451692	0.000509204	0.000405026	0.000426121	0.00043577	0.000370434	0.000293489	0.000319737
YFR033C	3.43513E-06	3.90874E-06	5.12867E-06	3.78291E-06	3.32386E-06	3.23582E-06	3.08806E-06	2.78515E-06	2.81601E-06	1.21591E-06
YFR037C	3.33006E-05	3.30782E-05	3.47982E-05	4.08389E-05	3.26322E-05	3.12083E-05	3.00703E-05	3.06126E-05	2.87247E-05	2.69405E-05
YFR039C	0	0	0	9.41709E-06	0	1.55501E-05	8.65407E-06	0	0	7.38868E-06
YFR040W	1.01651E-05	5.74662E-06	1.08528E-05	1.45149E-05	8.74138E-06	9.24551E-06	1.24927E-05	8.37639E-06	1.04825E-05	1.092E-05
YFR041C	4.05162E-06	0	4.99875E-06	5.87084E-06	4.41737E-06	0	0	0	0	2.70224E-06
YFR044C	0.000147167	0.00014711	0.000140585	0.000136019	0.00017377	0.000174264	0.00021084	0.000139103	0.000140048	0.000103133
YFR047C	0.000153596	0.000197479	0.000176291	0.000148374	0.000149697	0.000144547	0.000141584	0.000172	0.000194581	0.000147274
YFR050C	8.97884E-06	9.88958E-06	9.59963E-06	8.99311E-06	8.53324E-06	8.81789E-06	8.97468E-06	8.67288E-06	1.00636E-05	7.07006E-06
YFR051C	4.39971E-05	4.24203E-05	4.064E-05	4.75254E-05	4.64392E-05	4.68877E-05	3.93022E-05	4.2345E-05	4.0538E-05	3.97081E-05
YFR052W	0.000258488	0.000251337	0.000237011	0.000255206	0.000267703	0.000243638	0.000260286	0.00026211	0.000293303	0.000198024
YFR053C	0.000638838	0.000262243	0.000295509	0.000439781	0.00081622	0.001080963	0.000755023	0.000990978	0.000668823	0.001420072
YGL001C	6.53467E-05	4.96841E-05	4.17274E-05	3.57583E-05	7.2137E-05	7.09301E-05	7.24249E-05	4.02605E-05	3.44111E-05	4.92273E-05
YGL005C	1.81621E-05	0	0	0	0	0	1.95372E-05	0	0	3.80893E-05
YGL006W	1.97652E-05	1.86647E-05	1.24842E-05	2.09941E-05	1.4994E-05	1.74129E-05	1.4169E-05	9.61016E-06	1.30583E-05	7.60149E-06
YGL009C	0.000331929	0.000366151	0.000341121	0.000293051	0.000387856	0.000387504	0.0004458	0.000370269	0.000369409	0.000392416
YGL011C	0.000161133	0.00015569	0.00018717	0.000179878	0.000161982	0.000160042	0.000161851	0.000165671	0.000183015	0.000140662
YGL012W	1.76441E-05	1.67153E-05	1.48367E-05	8.98727E-06	1.7799E-05	3.13756E-05	4.26913E-05	1.14489E-05	1.03386E-05	6.48185E-05
YGL014W	3.19347E-06	2.16674E-06	2.86358E-06	2.60654E-06	3.60698E-06	3.18271E-06	2.41536E-06	3.81575E-06	4.08162E-06	2.42603E-06
YGL016W	0	0	0	0	0	0	0	0	0	0
YGL018C	1.69271E-05	1.35583E-05	1.98315E-05	1.43192E-05	1.43511E-05	1.55712E-05	1.29176E-05	1.45043E-05	1.66302E-05	1.42818E-05
YGL020C	0	0	0	0	0	0	0	0	0	0
YGL026C	0.000382232	0.000320147	0.000367247	0.000340721	0.000398516	0.000395901	0.00039895	0.000342519	0.000295022	0.000319627
YGL027C	5.8632E-06	6.97285E-06	7.18476E-06	7.28607E-06	5.88405E-06	6.05546E-06	5.06027E-06	5.86376E-06	4.93607E-06	4.63163E-06
YGL028C	0	0	0	0	0	0	0	0	0	0
YGL030W	0.00018591	0.000168302	0.000195487	0.000169325	0.000205923	0.00019862	0.000216484	0.000205197	0.000189951	0.000243082
YGL031C	0.001159894	0.001104061	0.001151672	0.001256036	0.001256228	0.001311383	0.001378838	0.00120113	0.0012756	0.001130861
YGL037C	0.000912157	0.000576158	0.000311244	0.000618725	0.00091643	0.001017665	0.000899919	0.001068636	0.001260187	0.001175283
YGL039W	3.7397E-06	4.00572E-06	4.60814E-06	3.52026E-06	4.88478E-06	5.34096E-06	5.96335E-06	6.44482E-06	3.89047E-06	2.85045E-06
YGL040C	0.00024751	0.000221576	0.000453401	0.000388698	0.000271292	0.00027131	0.000280695	0.000234671	0.0002822	0.000317366
YGL043W	7.50312E-05	7.63929E-05	8.44341E-05	9.36588E-05	8.03297E-05	7.94321E-05	8.73149E-05	7.4592E-05	7.54415E-05	8.43149E-05
YGL048C	0.000101847	9.37953E-05	9.38482E-05	9.72463E-05	9.62551E-05	9.74402E-05	9.471E-05	0.0001036	0.000102744	7.57132E-05
YGL049C	2.56292E-06	1.89215E-06	2.77431E-06	3.47455E-06	2.37746E-06	2.51606E-06	2.85219E-06	1.93722E-06	1.93181E-06	2.99861E-06
YGL050W	1.72223E-05	1.346E-05	1.58986E-05	1.88895E-05	1.76891E-05	1.48256E-05	1.56667E-05	2.2753E-05	1.56775E-05	1.61693E-05
YGL054C	0	0	0	0	0	0	0	0	0	0
YGL056C	1.04271E-05	1.16866E-05	9.13928E-06	8.08161E-06	1.07767E-05	1.01309E-05	1.13805E-05	1.12122E-05	1.34285E-05	7.18633E-06
YGL057C	0	0	1.93585E-05	1.50468E-05	0	1.24695E-05	0	0	9.83826E-06	7.91882E-06
YGL059W	5.65471E-06	4.88146E-06	4.47358E-06	3.90918E-06	5.59947E-06	4.36863E-06	4.22806E-06	5.3653E-06	6.03407E-06	1.85144E-06
YGL060W	0	0	0	0	0	0	0	0	0	0
YGL062W	0.000456584	0.000751525	0.001236805	0.001122913	0.00050236	0.000538401	0.000620252	0.000405063	0.000425491	0.000726589
YGL064C	0	0	0	0	0	0	0	0	0	0
YGL065C	1.31666E-05	1.18993E-05	1.18035E-05	1.71763E-05	1.1176E-05	1.35752E-05	1.33209E-05	8.92579E-06	9.5701E-06	2.51474E-05
YGL068W	0.000257042	0.000257611	0.000490031	0.000419821	0.000279817	0.000264797	0.000211841	0.000259447	0.000288128	0.000376533
YGL078C	4.27799E-05	2.98501E-05	4.66688E-05	5.31781E-05	4.37686E-05	4.44489E-05	4.78493E-05	4.34426E-05	3.82049E-05	4.10818E-05
YGL082W	6.5247E-06	7.58371E-06	5.1313E-06	5.18217E-06	6.26815E-06	5.74663E-06	5.57184E-06	6.17296E-06	7.09024E-06	5.80053E-06
YGL086W	0	0	0	0	0	0	0	0	0	0
YGL087C	0.000177724	0.000174996	0.000174258	0.000174728	0.000147115	0.000178902	0.000158183	0.00019598	0.000196179	0.000165909
YGL091C	0	0	3.01859E-06	3.99898E-06	6.45522E-06	0	6.102E-06	5.57491E-06	5.6064E-06	3.81266E-06
YGL092W	1.62324E-05	1.68317E-05	1.92535E-05	2.05013E-05	1.6291E-05	1.81477E-05	1.78578E-05	1.61053E-05	1.84602E-05	1.79922E-05
YGL094C	7.76607E-07	1.14887E-06	4.94078E-07	9.30652E-07	1.08227E-06	8.85312E-07	7.53313E-07	1.10607E-06	7.83649E-07	8.38751E-07
YGL095C	1.09118E-06	1.53599E-06	8.32948E-07	9.19888E-07	8.98352E-07	9.7662E-07	1.09398E-06	9.05189E-07	1.37052E-06	8.73105E-07
YGL097W	1.0426E-05	1.01768E-05	1.13321E-05	1.27722E-05	1.12069E-05	1.06064E-05	1.08566E-05	1.01204E-05	1.06089E-05	1.10738E-05
YGL098W	0	0	0	0	0	0	0	0	0	0
YGL099W	1.1747E-05	9.87807E-06	1.04128E-05	1.34424E-05	1.26039E-05	1.29818E-05	1.1974E-05	1.50653E-05	1.32045E-05	1.20279E-05
YGL101W	5.47577E-06	4.17894E-06	6.08625E-06	0	0	4.21208E-06	3.83771E-06	0	3.96865E-06	2.94315E-06
YGL103W	0.000454404	0.000416592	0.000391947	0.000399167	0.00050187	0.000425659	0.000444209	0.000459847	0.000501654	0.000399285
YGL105W	0.000172888	0.000218047	0.00021256	0.0002207	0.000171506	0.000174504	0.000177726	0.00018605	0.000205528	0.00023496
YGL106W	0.000288871	0.000326183	0.000347595	0.000387784	0.000289536	0.000312729	0.000230785	0.000268636	0.000311566	0.000294239
YGL107C	1.9657E-05	1.83662E-05	3.05149E-05	3.95301E-05	2.29556E-05	2.16482E-05	2.00229E-05	1.71978E-05	1.89709E-05	2.93199E-05
YGL111W	8.14375E-06	8.00984E-06	7.4009E-06	6.74987E-06	1.02925E-05	7.58141E-06	8.74735E-06	9.31629E-06	1.0224E-05	9.47277E-06
YGL115W	4.08342E-05	4.40333E-05	5.83936E-05	6.39152E-05	4.16218E-05	3.93466E-05	3.97197E-05	4.42959E-05	5.20672E-05	6.24309E-05
YGL119W	6.83481E-06	7.84207E-06	6.85489E-06	5.83101E-06	6.58572E-06	6.84654E-06	6.87365E-06	5.89341E-06	7.27228E-06	7.0594E-06
YGL120C	1.53907E-05	1.1986E-05	1.28636E-05	1.74916E-05	1.6327E-05	1.50316E-05	1.68554E-05	1.86696E-05	1.60446E-05	2.08567E-05
YGL123W	0.00334778	0.003009706	0.00311099	0.003049963	0.003855781	0.003647227	0.00394152	0.003572106	0.003430104	0.003628801
YGL125W	4.85174E-05	6.91787E-05	7.57476E-05	9.02691E-05	6.28584E-05	5.8146E-05	6.03544E-05	5.04627E-05	4.84366E-05	4.8E-05
YGL129C	1.17836E-06	1.17769E-06	1.93777E-06	1.99739E-06	1.38809E-06	1.35559E-06	1.24525E-06	1.03268E-06	9.65198E-07	6.72152E-07
YGL130W	1.27731E-05	1.34434E-05	1.13063E-05	1.17283E-05	1.20231E-05	1.32075E-05	1.33371E-05	1.21027E-05	1.33872E-05	7.45919E-06
YGL137W	4.3381E-05	4.44893E-05	4.83696E-05	4.84821E-05	4.19526E-05	4.55794E-05	4.88595E-05	4.55012E-05	4.45943E-05	6.17129E-05
YGL145W	1.44262E-06	5.53174E-07	1.22111E-06	1.46429E-06	0	0	0	1.54435E-06	1.17007E-06	1.60146E-06
YGL147C	0.002748738	0.00289806	0.00304158	0.00287492	0.002807978	0.002706412	0.002747565	0.002591146	0.00288335	0.002833984
YGL148W	0.000179494	0.000130972	0.000174352	0.000166382	0.000185867	0.000181144	0.000168104	0.000165518	0.000147189	0.000117813
YGL151W	0	0	0	0	0	0	0	0	0	0
YGL153W	2.86703E-05	2.62091E-05	2.2153E-05	2.42459E-05	2.20636E-05	2.46859E-05	2.99141E-05	2.6905E-05	2.95498E-05	1.47768E-05
YGL156W	3.89474E-06	3.19512E-06	2.13675E-06	1.13604E-06	4.11162E-06	3.22251E-06	3.21103E-06	4.51384E-06	3.96413E-06	1.02071E-06
YGL157W	1.52422E-05	1.5642E-05	1.81127E-05	2.09621E-05	1.91213E-05	1.38834E-05	1.98991E-05	2.12829E-05	1.51878E-05	2.70198E-05
YGL164C	7.81967E-06	0	0	7.45278E-06	8.21991E-06	8.17704E-06	7.75085E-06	1.01253E-05	9.56586E-06	8.34725E-06
YGL167C	1.1557E-05	1.26678E-05	8.33939E-06	1.0557E-05	1.08132E-05	1.30167E-05	1.2585E-05	1.09655E-05	1.00082E-05	7.8774E-06
YGL169W	1.6389E-06	2.13231E-06	2.50384E-06	2.82951E-06	1.8356E-06	1.6899E-06	1.96039E-06	1.4776E-06	2.08759E-06	2.67905E-06
YGL171W	0	0	0	0	0	0	0	0	0	0
YGL172W	1.36917E-05	1.19334E-05	1.45257E-05	1.72021E-05	1.59597E-05	1.23184E-05	1.23309E-05	1.23976E-05	1.35893E-05	1.37352E-05
YGL173C	1.08696E-05	1.17723E-05	1.18998E-05	1.55178E-05	1.04428E-05	1.15551E-05	1.26056E-05	9.23683E-06	9.43083E-06	1.23037E-05
YGL181W	0	0	0	0	0	0	0	0	0	0
YGL184C	3.13825E-05	1.69475E-05	1.20922E-05	8.86917E-06	2.72646E-05	2.36761E-05	1.88864E-05	2.93313E-05	2.56226E-05	1.80165E-05
YGL185C	8.10527E-06	7.87104E-06	6.30561E-06	4.48024E-06	7.78818E-06	1.02866E-05	8.85941E-06	8.19735E-06	8.31656E-06	5.43261E-06
YGL187C	0.001733946	0.001892177	0.002173815	0.00110841	0.002009572	0.001974386	0.002155551	0.001715638	0.001797182	0.000636656
YGL190C	1.93392E-05	2.10673E-05	1.74493E-05	2.18776E-05	1.79937E-05	1.78902E-05	1.58652E-05	1.90592E-05	2.0664E-05	1.4781E-05
YGL191W	0	0	0	0	0	0	0	0	0	0
YGL195W	1.89491E-05	1.76864E-05	2.44068E-05	3.5411E-05	1.99423E-05	2.10247E-05	2.22691E-05	2.01026E-05	2.11764E-05	3.19959E-05
YGL200C	1.55315E-05	1.96105E-05	1.75858E-05	1.59182E-05	1.76446E-05	1.69127E-05	1.48357E-05	1.64806E-05	1.66312E-05	1.54991E-05
YGL201C	7.14484E-06	8.19693E-06	8.58997E-06	1.03744E-05	7.2825E-06	6.92583E-06	6.51267E-06	7.83515E-06	7.60179E-06	7.56791E-06
YGL202W	0.000289033	0.000324793	0.000291297	0.000221691	0.000313693	0.000303749	0.000276219	0.00026847	0.000247923	0.000236841
YGL203C	0	0	0	0	0	0	0	0	0	0
YGL206C	0.000132194	0.000141283	0.000145077	0.00015977	0.000137019	0.00013854	0.000135777	0.000139955	0.000139053	0.000135818
YGL207W	4.38142E-05	4.01235E-05	3.91477E-05	4.73087E-05	4.14085E-05	4.33062E-05	4.61499E-05	3.82634E-05	4.42394E-05	6.18518E-05
YGL210W	5.26886E-05	6.23337E-05	6.25534E-05	6.34448E-05	6.43738E-05	6.29831E-05	6.53637E-05	6.41606E-05	6.71054E-05	5.304E-05
YGL213C	8.88323E-06	1.21715E-05	1.26705E-05	1.31872E-05	9.07184E-06	9.33349E-06	8.59883E-06	9.93891E-06	1.1791E-05	1.03369E-05
YGL221C	2.76891E-05	2.97521E-05	3.08329E-05	2.6738E-05	3.09819E-05	2.92169E-05	2.91067E-05	3.33653E-05	3.37315E-05	3.20661E-05
YGL223C	4.20717E-06	5.16677E-06	0	0	3.98394E-06	3.52418E-06	3.97788E-06	4.36976E-06	4.13181E-06	5.30484E-06
YGL224C	1.14533E-05	1.15656E-05	1.31446E-05	1.0767E-05	1.67861E-05	1.34752E-05	1.19863E-05	1.0888E-05	1.1395E-05	1.32669E-05
YGL226C-A	0	0	0.000154946	5.13329E-05	0.000264039	0.000120134	0.000152808	0.000930369	0.000239799	0.000369334
YGL228W	2.97821E-05	3.23011E-05	3.7819E-05	4.41299E-05	3.11248E-05	3.06177E-05	2.83892E-05	3.31889E-05	4.22047E-05	4.74771E-05
YGL231C	2.60346E-06	2.94281E-06	2.84523E-06	3.01462E-06	2.88457E-06	2.58053E-06	2.72581E-06	2.54501E-06	2.70588E-06	2.61047E-06
